tc,tc_float,ev,ev_min,ev_max,n2,n3,n4,n5,n6,n7,n8,n9,n10,nA
3,3.058823529411765,2.1351882757387,2.135187993677986,2.135212827121342,3,4,2,3,3,6,5,7,15,3
0,0.3969465648854962,-0.0850767020244618,-0.0850768255618381,-0.085005404354056,21,20,17,21,18,22,22,22,79,20
0,-0.4727272727272727,-0.3925594539808041,-0.3925597707784941,-0.3925040098046213,20,15,18,17,17,17,16,15,65,20
0,-0.8813559322033898,0.9773515875304308,0.9773515145853984,0.977386876048848,6,2,4,4,5,4,6,8,17,3
-7,-7.172413793103448,-3.5406948453299347,-3.540695414417931,-3.540639749495528,14,11,12,12,16,14,8,13,36,9
0,-0.4110671936758893,-0.5118182107338578,-0.5118184268471845,-0.5117386963408117,18,19,22,19,19,20,22,19,75,20
1,1.8909090909090909,0.8881082039290134,0.8881081049659116,0.8881539336375984,14,21,15,13,18,18,17,15,73,16
0,-0.6582278481012659,-0.9406878861795668,-0.9406880902610328,-0.940646206814867,16,10,14,14,8,15,8,13,50,10
-1,-1.291925465838509,-0.12367202897435,-0.1236723916558069,-0.1236306972648106,12,9,12,9,19,17,9,17,45,12
-5,-5.135802469135802,-0.8279290023059926,-0.8279309035186472,-0.8278238914745168,8,7,6,8,7,9,4,4,18,10
0,0.1682847896440129,-0.2215913862535299,-0.221591574399982,-0.2215230053855291,23,23,24,24,24,24,24,24,95,24
-2,-2.381679389312977,-1.5512079402896035,-1.5512083280075697,-1.5511630412363957,11,8,9,11,12,13,12,10,37,8
0,0.1977186311787072,-0.2321959893101333,-0.2321962622344947,-0.2321094441688036,19,23,18,22,22,19,20,15,83,22
2,2.4615384615384617,2.019311984887697,2.0193117229508792,2.019356395397482,14,13,12,13,13,8,10,13,59,14
0,0.1977186311787072,-0.2355992133986042,-0.235599599765315,-0.2355219386422282,20,21,20,21,21,21,16,19,83,21
0,0.0,-0.5127010456662647,-0.5127012241415204,-0.5126503006529394,12,11,7,13,11,11,9,7,44,10
-1,-1.824561403508772,-0.4419523957155739,-0.4419536357273212,-0.4419173602139358,2,3,4,7,3,5,7,9,12,5
-2,-2.8888888888888893,-2.0728451279967834,-2.0728456772398958,-2.072794721473993,8,9,11,13,11,11,8,10,36,9
0,0.9059233449477352,0.1253554152386329,0.1253552305046552,0.125434549995912,23,20,21,22,21,23,24,21,89,23
1,1.8995433789954337,1.0912848734518228,1.091284709461665,1.0913581998266837,15,17,15,15,18,17,14,20,68,20
1,1.4857142857142858,0.7724452743332473,0.7724452143554356,0.7724834102516671,12,13,14,14,14,10,13,13,61,11
1,1.019607843137255,0.5335291914543918,0.5335272131189646,0.5335910615601013,7,5,14,9,5,7,3,10,32,10
-1,-1.2862190812720848,-1.0398062665469456,-1.0398065295194372,-1.0397364665359496,24,22,24,21,22,23,21,20,86,20
0,0.3190184049079754,-0.2903150491176693,-0.2903151850880746,-0.2902442599939431,9,18,9,14,13,13,12,11,57,7
0,0.0,-0.2775926457321106,-0.2775929895685037,-0.2775231873181882,24,24,24,24,24,24,24,24,96,24
3,3.089108910891089,2.3808258682011174,2.3808258382388394,2.3808533728923926,8,10,8,2,6,8,10,9,35,5
-4,-4.8533333333333335,-1.0141263019468183,-1.0141283169090254,-1.0140500694276575,6,8,5,8,7,3,6,5,18,9
0,-0.8813559322033898,-0.9614695802716778,-0.9614697450460004,-0.9614266639968498,18,20,21,19,16,17,19,16,76,14
0,0.9454545454545454,0.4804696736296658,0.4804694578003688,0.4805411570656349,15,17,15,18,17,13,22,17,68,18
-3,-3.4666666666666663,-1.3918783741289933,-1.3918810734385816,-1.3918057428004846,7,7,7,10,9,7,3,6,24,10
10,10.035087719298245,5.855219528832754,5.855219498315445,5.855237161425822,2,2,2,7,3,3,5,6,21,6
0,-0.2407407407407407,-0.5895598925355221,-0.5895603575714892,-0.5894963896631649,16,17,17,17,15,19,18,16,65,16
3,3.3669064748201443,1.3376209251311586,1.3376209036245883,1.3376592040917237,9,12,12,10,6,9,14,9,52,6
0,0.304093567251462,0.2798539030302758,0.2798537473287759,0.2798994272917878,14,10,15,12,15,13,8,17,55,12
0,0.0,-0.2775924639690209,-0.2775926432123866,-0.2775234098829208,24,24,24,24,24,24,24,24,96,24
0,-0.3895131086142321,-0.1621003683851102,-0.1621005978942767,-0.1620126651106367,21,20,21,20,22,18,21,22,80,22
-2,-2.1333333333333333,-0.95876949851032,-0.9587699198473204,-0.9586962396965778,19,14,16,13,19,13,15,13,59,14
1,1.8909090909090909,1.6173059111262602,1.6173052036443376,1.6173836136077475,9,4,11,7,11,6,8,8,35,11
